ID;Jahr;Stadtteilschlüssel;Stadtteilname;Alter;Bevölkerung am Ort der Hauptwohnung
20002;2014;012;Jungbusch;90+;7
20003;2014;020;Neckarstadt-West;000;195
20007;2014;020;Neckarstadt-West;004;189
20009;2014;020;Neckarstadt-West;006;210
20015;2014;020;Neckarstadt-West;012;151
20016;2014;020;Neckarstadt-West;013;167
20019;2014;020;Neckarstadt-West;016;189
20020;2014;020;Neckarstadt-West;017;203
20021;2014;020;Neckarstadt-West;018;257
20022;2014;020;Neckarstadt-West;019;309
20026;2014;020;Neckarstadt-West;023;431
20029;2014;020;Neckarstadt-West;026;530
20034;2014;020;Neckarstadt-West;031;431
20041;2014;020;Neckarstadt-West;038;344
20048;2014;020;Neckarstadt-West;045;294
20057;2014;020;Neckarstadt-West;054;243
20063;2014;020;Neckarstadt-West;060;193
20066;2014;020;Neckarstadt-West;063;154
20068;2014;020;Neckarstadt-West;065;191
20069;2014;020;Neckarstadt-West;066;167
20070;2014;020;Neckarstadt-West;067;175
20075;2014;020;Neckarstadt-West;072;125
20076;2014;020;Neckarstadt-West;073;129
20080;2014;020;Neckarstadt-West;077;89
20084;2014;020;Neckarstadt-West;081;68
20087;2014;020;Neckarstadt-West;084;49
20093;2014;031;Neckarstadt-Ost;003;105
20094;2014;031;Neckarstadt-Ost;004;114
20095;2014;031;Neckarstadt-Ost;005;83
20096;2014;031;Neckarstadt-Ost;006;117
20097;2014;031;Neckarstadt-Ost;007;96
20109;2014;031;Neckarstadt-Ost;019;129
20113;2014;031;Neckarstadt-Ost;023;231
20114;2014;031;Neckarstadt-Ost;024;269
20116;2014;031;Neckarstadt-Ost;026;259
20119;2014;031;Neckarstadt-Ost;029;299
20122;2014;031;Neckarstadt-Ost;032;327
20125;2014;031;Neckarstadt-Ost;035;316
20126;2014;031;Neckarstadt-Ost;036;239
20131;2014;031;Neckarstadt-Ost;041;209
20140;2014;031;Neckarstadt-Ost;050;227
20141;2014;031;Neckarstadt-Ost;051;225
20150;2014;031;Neckarstadt-Ost;060;166
20155;2014;031;Neckarstadt-Ost;065;154
20156;2014;031;Neckarstadt-Ost;066;151
20160;2014;031;Neckarstadt-Ost;070;132
20164;2014;031;Neckarstadt-Ost;074;154
20165;2014;031;Neckarstadt-Ost;075;121
20166;2014;031;Neckarstadt-Ost;076;146
20167;2014;031;Neckarstadt-Ost;077;117
20170;2014;031;Neckarstadt-Ost;080;100
20171;2014;031;Neckarstadt-Ost;081;72
20172;2014;031;Neckarstadt-Ost;082;77
20173;2014;031;Neckarstadt-Ost;083;82
20179;2014;032;Herzogenried;002;71
20182;2014;032;Herzogenried;005;71
20185;2014;032;Herzogenried;008;87
20186;2014;032;Herzogenried;009;73
20187;2014;032;Herzogenried;010;77
20189;2014;032;Herzogenried;012;81
20192;2014;032;Herzogenried;015;83
20195;2014;032;Herzogenried;018;97
20196;2014;032;Herzogenried;019;148
20198;2014;032;Herzogenried;021;130
20200;2014;032;Herzogenried;023;150
20203;2014;032;Herzogenried;026;131
20210;2014;032;Herzogenried;033;97
20212;2014;032;Herzogenried;035;89
20217;2014;032;Herzogenried;040;98
20221;2014;032;Herzogenried;044;102
20223;2014;032;Herzogenried;046;115
20224;2014;032;Herzogenried;047;111
20237;2014;032;Herzogenried;060;89
20238;2014;032;Herzogenried;061;89
20242;2014;032;Herzogenried;065;90
20244;2014;032;Herzogenried;067;74
20245;2014;032;Herzogenried;068;54
20246;2014;032;Herzogenried;069;51
20248;2014;032;Herzogenried;071;67
20251;2014;032;Herzogenried;074;82
20252;2014;032;Herzogenried;075;63
20256;2014;032;Herzogenried;079;55
20257;2014;032;Herzogenried;080;69
20258;2014;032;Herzogenried;081;43
20261;2014;032;Herzogenried;084;29
20270;2014;033;Neckarstadt-Nordost;006;36
20271;2014;033;Neckarstadt-Nordost;007;23
