Str. Nr.;Straße (Katalog);Absch-Nr.;Straßenkürzel;Klassifizierung;Straßentyp;Länge
30;Mülhauser Straße;9557;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.014
1566;Draisstraße;5166;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.139
1743;Schanzenstraße;5183;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.146
1445;Luisenring;5185;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.158
2615;Beim Teufelsberg;7750;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.10200000000000001
1612;Fröhlichstraße;5157;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.115
597;Madenburgstraße;9588;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.13
247;Seckacher Straße;10606;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.033
290;Erfurter Weg;10286;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.039
260;Suhler Weg;10276;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.057
1334;Moltkestraße;4404;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.093
1358;Spelzenstraße;4400;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08700000000000001
1389;Gerwigstraße;4382;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.021
1387;Loslauer Weg;4377;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.068
1406;Tarnowitzer Weg;4430;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.179
1387;Loslauer Weg;4431;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.01
1406;Tarnowitzer Weg;4428;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.098
1408;Logauweg;4432;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.182
230;Zwickauer Weg;10391;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.037
3411;Dachspfad;9735;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.05
1403;Königstuhlstraße;4415;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.041
1340;Rastenburger Straße;4421;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.098
1249;Apenrader Weg;4093;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.078
1444;U1,U2;4547;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.221
271;Wilhelm-Furtwängler-Straße;10912;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.062
1119;Karl-Marx-Straße;4031;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.075
1256;Rudolf-Maus-Straße;4070;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.051000000000000004
1258;Parsevalstraße;4073;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.046
1267;Fratrelstraße;4129;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.12
1324;Gertrud-Bäumer-Straße;4212;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.074
1343;Gnesener Straße;4185;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.168
1334;Moltkestraße;4266;;Städtische Privatstraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.114
