Punkt,Laengengrad,Breitengrad
A,49.484824,8.462317
B,49.487318,8.464614
A,49.487318,8.464614
B,49.490232,8.467294
A,49.490232,8.467294
B,49.493206,8.47009
A,49.493587,8.469264
B,49.490544,8.466534
A,49.490544,8.466534
B,49.488422,8.464534
A,49.488422,8.464534
B,49.485143,8.461501
A,49.490232,8.467294
B,49.491496,8.464077
A,49.491496,8.464077
B,49.492969,8.460348
A,49.492969,8.460348
B,49.494219,8.457127
A,49.498299,8.45799
B,49.494219,8.457127
A,49.494219,8.457127
B,49.492188,8.456753
A,49.492188,8.456753
B,49.491266,8.459353
A,49.491266,8.459353
B,49.489968,8.462656
A,49.489968,8.462656
B,49.488421,8.466629
A,49.488421,8.466629
B,49.486784,8.470932
A,49.486784,8.470932
B,49.485123,8.475182
A,49.485123,8.475182
B,49.484198,8.477653
A,49.484198,8.477653
B,49.483794,8.478133
A,49.483794,8.478133
B,49.48312,8.478074
A,49.48312,8.478074
B,49.4827,8.477094
A,49.4827,8.477094
B,49.482847,8.476224
A,49.482847,8.476224
B,49.483753,8.473914
A,49.483753,8.473914
B,49.48538,8.469678
A,49.48538,8.469678
B,49.486961,8.46559
A,49.486961,8.46559
B,49.488631,8.461352
A,49.488631,8.461352
B,49.489892,8.458188
A,49.487169,8.456165
B,49.481762,8.458166
A,49.481762,8.458166
B,49.485985,8.459608
A,49.485985,8.459608
B,49.484401,8.46307
A,49.484401,8.46307
B,49.483062,8.466499
A,49.483062,8.466499
B,49.481147,8.471357
A,49.481147,8.471357
B,49.483753,8.473914
A,49.483753,8.473914
B,49.485123,8.475182
A,49.485123,8.475182
B,49.487784,8.476094
A,49.487784,8.476094
B,49.489796,8.475729
A,49.489796,8.475729
B,49.491191,8.474742
A,49.491191,8.474742
B,49.492276,8.473154
A,49.492276,8.473154
B,49.493073,8.471122
A,49.493073,8.471122
B,49.493676,8.4693
A,49.493676,8.4693
B,49.493912,8.467174
A,49.493912,8.467174
B,49.493943,8.463791
A,49.493943,8.463791
B,49.4936192009,8.461631185
A,49.4936192009,8.461631185
B,49.4930296705,8.460146561
A,49.4930296705,8.460146561
B,49.4901789217,8.457314231
A,49.4901789217,8.457314231
B,49.487169,8.456165
A,49.493073,8.471122
B,49.495417,8.473337
A,49.495417,8.473337
B,49.4976523001,8.4664555301
A,49.4976523001,8.4664555301
B,49.499559,8.461077
A,49.499559,8.461077
B,49.497678,8.459481
A,49.497678,8.459481
B,49.497141,8.459383
A,49.497141,8.459383
B,49.494888,8.460781
A,49.494888,8.460781
B,49.493361,8.460402
A,49.498299,8.45799
B,49.497678,8.459481
A,49.497678,8.459481
B,49.495553,8.464755
A,49.495553,8.464755
B,49.494412,8.468279
A,49.494412,8.468279
B,49.493576,8.471305
A,49.493576,8.471305
B,49.491788,8.476901
A,49.491788,8.476901
B,49.490505,8.481265
A,49.490505,8.481265
B,49.489236,8.485602
A,49.489236,8.485602
B,49.487998,8.489786
A,49.487998,8.489786
B,49.484743,8.487516
A,49.484743,8.487516
B,49.480819,8.483922
A,49.480819,8.483922
B,49.47872,8.482209
A,49.47872,8.482209
B,49.476528,8.477839
A,49.48312,8.478074
B,49.480819,8.483922
A,49.480819,8.483922
B,49.47924,8.487925
A,49.495417,8.473337
B,49.496535,8.474354
A,49.496535,8.474354
