"","Jahr","Monat","Tag","Stunde","Standort","Zaehlstand","laengengrad","breitengrad","uniMA_dist","Zeit_neu","Datum","Wochentag","Wochenende","Sommer","FeiertagBW","FeiertagRP","SchulferienBW","SemesterferionUM","WertRR","QualitaetRR","WertT2M","QualitaetT2M","WertF","QualitaetF","WertRF","QualitaetRF","WertSD","QualitaetSD","WertN","QualitaetN"
"1","2020","12","01","03","Renzstraße",5,8.481114,49.49027,1567.60388582477,2020-12-01 03:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1,3,0.3,7,4.1,7,98,7,0,7,7,3
"2","2020","12","01","03","Renzstraße",5,8.481114,49.49027,1567.60388582477,2020-12-01 03:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1,3,0.3,7,4.1,7,98,7,0,7,7,3
"3","2020","12","01","04","Renzstraße",9,8.481114,49.49027,1567.60388582477,2020-12-01 04:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0.6,3,0.2,7,3.7,7,99,7,0,7,8,3
"4","2020","12","01","04","Renzstraße",9,8.481114,49.49027,1567.60388582477,2020-12-01 04:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0.6,3,0.2,7,3.7,7,99,7,0,7,8,3
"5","2020","12","01","05","Renzstraße",44,8.481114,49.49027,1567.60388582477,2020-12-01 05:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1.4,3,0.1,7,3.4,7,99,7,0,7,8,3
"6","2020","12","01","05","Renzstraße",44,8.481114,49.49027,1567.60388582477,2020-12-01 05:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1.4,3,0.3,7,3.4,7,99,7,0,7,8,3
"7","2020","12","01","06","Renzstraße",58,8.481114,49.49027,1567.60388582477,2020-12-01 06:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1.5,3,0.3,7,3.3,7,99,7,0,7,8,3
"8","2020","12","01","06","Renzstraße",58,8.481114,49.49027,1567.60388582477,2020-12-01 06:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,1.5,3,0.1,7,3.3,7,99,7,0,7,8,3
"9","2020","12","01","07","Renzstraße",194,8.481114,49.49027,1567.60388582477,2020-12-01 07:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0.3,3,0.3,7,3.2,7,98,7,0,7,8,3
"10","2020","12","01","07","Renzstraße",194,8.481114,49.49027,1567.60388582477,2020-12-01 07:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0.3,3,0.4,7,3.2,7,98,7,0,7,8,3
"11","2020","12","01","08","Renzstraße",198,8.481114,49.49027,1567.60388582477,2020-12-01 08:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.5,7,3.3,7,98,7,0,7,8,3
"12","2020","12","01","08","Renzstraße",198,8.481114,49.49027,1567.60388582477,2020-12-01 08:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.5,7,3.3,7,98,7,0,7,8,3
"13","2020","12","01","09","Renzstraße",110,8.481114,49.49027,1567.60388582477,2020-12-01 09:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.7,7,2.8,7,97,7,0,7,8,3
"14","2020","12","01","09","Renzstraße",110,8.481114,49.49027,1567.60388582477,2020-12-01 09:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.8,7,2.8,7,97,7,0,7,8,3
"15","2020","12","01","10","Renzstraße",90,8.481114,49.49027,1567.60388582477,2020-12-01 10:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.9,7,2.6,7,96,7,0,7,8,3
"16","2020","12","01","10","Renzstraße",90,8.481114,49.49027,1567.60388582477,2020-12-01 10:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,0.9,7,2.6,7,96,7,0,7,8,3
"17","2020","12","01","11","Renzstraße",82,8.481114,49.49027,1567.60388582477,2020-12-01 11:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.1,7,2.8,7,96,7,0,7,8,3
"18","2020","12","01","11","Renzstraße",82,8.481114,49.49027,1567.60388582477,2020-12-01 11:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.4,7,2.8,7,96,7,0,7,8,3
"19","2020","12","01","12","Renzstraße",95,8.481114,49.49027,1567.60388582477,2020-12-01 12:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.3,7,2.3,7,96,7,0,7,8,3
"20","2020","12","01","12","Renzstraße",95,8.481114,49.49027,1567.60388582477,2020-12-01 12:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.9,7,2.3,7,96,7,0,7,8,3
"21","2020","12","01","13","Renzstraße",133,8.481114,49.49027,1567.60388582477,2020-12-01 13:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.4,7,2.3,7,96,7,0,7,8,3
"22","2020","12","01","13","Renzstraße",133,8.481114,49.49027,1567.60388582477,2020-12-01 13:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,2.3,7,2.3,7,96,7,0,7,8,3
"23","2020","12","01","14","Renzstraße",168,8.481114,49.49027,1567.60388582477,2020-12-01 14:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,2.2,7,2.3,7,96,7,0,7,8,3
"24","2020","12","01","14","Renzstraße",168,8.481114,49.49027,1567.60388582477,2020-12-01 14:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,2.3,7,96,7,0,7,8,3
"25","2020","12","01","15","Renzstraße",173,8.481114,49.49027,1567.60388582477,2020-12-01 15:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.5,7,2.1,7,96,7,0,7,8,3
"26","2020","12","01","15","Renzstraße",173,8.481114,49.49027,1567.60388582477,2020-12-01 15:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,2.2,7,2.1,7,96,7,0,7,8,3
"27","2020","12","01","16","Renzstraße",214,8.481114,49.49027,1567.60388582477,2020-12-01 16:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,1.7,7,96,7,0,7,8,3
"28","2020","12","01","16","Renzstraße",214,8.481114,49.49027,1567.60388582477,2020-12-01 16:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.7,7,1.7,7,96,7,0,7,8,3
"29","2020","12","01","17","Renzstraße",185,8.481114,49.49027,1567.60388582477,2020-12-01 17:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,1.8,7,96,7,0,7,7,3
"30","2020","12","01","17","Renzstraße",185,8.481114,49.49027,1567.60388582477,2020-12-01 17:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,1.8,7,96,7,0,7,7,3
"31","2020","12","01","18","Renzstraße",136,8.481114,49.49027,1567.60388582477,2020-12-01 18:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.7,7,2,7,97,7,0,7,8,3
"32","2020","12","01","18","Renzstraße",136,8.481114,49.49027,1567.60388582477,2020-12-01 18:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.7,7,2,7,97,7,0,7,8,3
"33","2020","12","01","19","Renzstraße",91,8.481114,49.49027,1567.60388582477,2020-12-01 19:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,1.4,7,97,7,0,7,8,3
"34","2020","12","01","19","Renzstraße",91,8.481114,49.49027,1567.60388582477,2020-12-01 19:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.6,7,1.4,7,97,7,0,7,8,3
"35","2020","12","01","20","Renzstraße",56,8.481114,49.49027,1567.60388582477,2020-12-01 20:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.5,7,1.5,7,97,7,0,7,8,3
"36","2020","12","01","20","Renzstraße",56,8.481114,49.49027,1567.60388582477,2020-12-01 20:00:00,2020-12-01,"Di","Wochentag",0,0,0,0,0,0,3,1.7,7,1.5,7,97,7,0,7,8,3
"37","2020","12","02","03","Renzstraße",4,8.481114,49.49027,1567.60388582477,2020-12-02 03:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.2,7,2,7,94,7,0,7,5,3
"38","2020","12","02","03","Renzstraße",4,8.481114,49.49027,1567.60388582477,2020-12-02 03:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,2,7,94,7,0,7,5,3
"39","2020","12","02","04","Renzstraße",12,8.481114,49.49027,1567.60388582477,2020-12-02 04:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.6,7,1.8,7,90,7,0,7,8,3
"40","2020","12","02","04","Renzstraße",12,8.481114,49.49027,1567.60388582477,2020-12-02 04:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.8,7,1.8,7,90,7,0,7,8,3
"41","2020","12","02","05","Renzstraße",53,8.481114,49.49027,1567.60388582477,2020-12-02 05:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,2.5,7,86,7,0,7,8,3
"42","2020","12","02","05","Renzstraße",53,8.481114,49.49027,1567.60388582477,2020-12-02 05:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,2.5,7,86,7,0,7,8,3
"43","2020","12","02","06","Renzstraße",108,8.481114,49.49027,1567.60388582477,2020-12-02 06:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,2.9,7,86,7,0,7,8,3
"44","2020","12","02","06","Renzstraße",108,8.481114,49.49027,1567.60388582477,2020-12-02 06:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.8,7,2.9,7,86,7,0,7,8,3
"45","2020","12","02","07","Renzstraße",272,8.481114,49.49027,1567.60388582477,2020-12-02 07:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.8,7,2.8,7,85,7,0,7,8,3
"46","2020","12","02","07","Renzstraße",272,8.481114,49.49027,1567.60388582477,2020-12-02 07:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.9,7,2.8,7,85,7,0,7,8,3
"47","2020","12","02","08","Renzstraße",305,8.481114,49.49027,1567.60388582477,2020-12-02 08:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.5,7,3.2,7,86,7,0,7,7,3
"48","2020","12","02","08","Renzstraße",305,8.481114,49.49027,1567.60388582477,2020-12-02 08:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,3.2,7,86,7,0,7,7,3
"49","2020","12","02","09","Renzstraße",150,8.481114,49.49027,1567.60388582477,2020-12-02 09:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,3,7,83,7,0,7,8,3
"50","2020","12","02","09","Renzstraße",150,8.481114,49.49027,1567.60388582477,2020-12-02 09:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.8,7,3,7,83,7,0,7,8,3
"51","2020","12","02","10","Renzstraße",145,8.481114,49.49027,1567.60388582477,2020-12-02 10:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.1,7,2,7,82,7,0,7,8,3
"52","2020","12","02","10","Renzstraße",145,8.481114,49.49027,1567.60388582477,2020-12-02 10:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,2,7,82,7,0,7,8,3
"53","2020","12","02","11","Renzstraße",127,8.481114,49.49027,1567.60388582477,2020-12-02 11:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.2,7,2.1,7,82,7,0,7,7,3
"54","2020","12","02","11","Renzstraße",127,8.481114,49.49027,1567.60388582477,2020-12-02 11:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.2,7,2.1,7,82,7,0,7,7,3
"55","2020","12","02","12","Renzstraße",163,8.481114,49.49027,1567.60388582477,2020-12-02 12:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.9,7,2,7,83,7,0,7,8,3
"56","2020","12","02","12","Renzstraße",163,8.481114,49.49027,1567.60388582477,2020-12-02 12:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.4,7,2,7,83,7,0,7,8,3
"57","2020","12","02","13","Renzstraße",202,8.481114,49.49027,1567.60388582477,2020-12-02 13:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.3,7,1.8,7,83,7,0,7,7,3
"58","2020","12","02","13","Renzstraße",202,8.481114,49.49027,1567.60388582477,2020-12-02 13:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.9,7,1.8,7,83,7,0,7,7,3
"59","2020","12","02","14","Renzstraße",198,8.481114,49.49027,1567.60388582477,2020-12-02 14:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2.2,7,1.7,7,85,7,0,7,8,3
"60","2020","12","02","14","Renzstraße",198,8.481114,49.49027,1567.60388582477,2020-12-02 14:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.9,7,1.7,7,85,7,0,7,8,3
"61","2020","12","02","15","Renzstraße",244,8.481114,49.49027,1567.60388582477,2020-12-02 15:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.8,7,1.5,7,83,7,0,7,8,3
"62","2020","12","02","15","Renzstraße",244,8.481114,49.49027,1567.60388582477,2020-12-02 15:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,1.5,7,83,7,0,7,8,3
"63","2020","12","02","16","Renzstraße",221,8.481114,49.49027,1567.60388582477,2020-12-02 16:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,2,7,1.7,7,81,7,0,7,8,3
"64","2020","12","02","16","Renzstraße",221,8.481114,49.49027,1567.60388582477,2020-12-02 16:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.7,7,1.7,7,81,7,0,7,8,3
"65","2020","12","02","17","Renzstraße",278,8.481114,49.49027,1567.60388582477,2020-12-02 17:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.7,7,1.8,7,79,7,0,7,8,3
"66","2020","12","02","17","Renzstraße",278,8.481114,49.49027,1567.60388582477,2020-12-02 17:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.6,7,1.8,7,79,7,0,7,8,3
"67","2020","12","02","18","Renzstraße",180,8.481114,49.49027,1567.60388582477,2020-12-02 18:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.3,7,1,7,84,7,0,7,8,3
"68","2020","12","02","18","Renzstraße",180,8.481114,49.49027,1567.60388582477,2020-12-02 18:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.6,7,1,7,84,7,0,7,8,3
"69","2020","12","02","19","Renzstraße",107,8.481114,49.49027,1567.60388582477,2020-12-02 19:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1.5,7,1.2,7,86,7,0,7,8,3
"70","2020","12","02","19","Renzstraße",107,8.481114,49.49027,1567.60388582477,2020-12-02 19:00:00,2020-12-02,"Mi","Wochentag",0,0,0,0,0,0,3,1,7,1.2,7,86,7,0,7,8,3
